highres,高画質
nib pen (medium),つけペン
third-party watermark,サードパーティの透かし
decensored,ディレクレッド
engrish commentary,刻印解説
bad hentai foundry id,悪いヘンタイの根拠ID
bad patreon id,悪いパトレオンID
album cover redraw,ジャケパロ
self-portrait,自画像
game screenshot,ゲームスクリーンショット
detexted,剥離しました
completion time,完了時間
end card,エンドカード
koikatsu (medium),コイカツ!
bad nijie id,悪いnijie id
paint chat (medium),絵ちゃ
aliasing,エイリアシング
flash,閃光
microsoft paint (medium),MSペイント
comic panel redraw,漫画パネルのredRaw
mikumikudance (medium),Mikumikudance（中）
headwear request,帽子のリクエスト
annotation request,注釈リクエスト
source mismatch,ソースの不一致
ballpoint pen (medium),ボールペン
fantia reward,ファンタの報酬
psd available,PSDが利用可能
bad instagram id,悪いInstagram ID
ink (medium),インク（中）
music video,ミュージックビデオ
bad poipiku id,悪いpoipiku id
bad weibo id,悪いweibo id
60+fps,60+fps
object request,オブジェクトリクエスト
audible internal cumshot,可聴内部累積
pdf available,PDF利用可能
french commentary,フランスの解説
calligraphy brush (medium),筆ペン
enty reward,魅力的な報酬
watercolor pencil (medium),水彩色鉛筆
bad fanbox id,悪いファンボックスID
story in commentary,キャプション芸
waifu2x,waifu2x
twitter sample,Twitterサンプル
tumblr sample,Tumblrサンプル
ruffle compatible,互換性のあるフリル
indonesian commentary,インドネシアの解説
origins,全てはここから始まった
countdown illustration,カウントダウンイラスト
hard-translated (non-english),ハード翻訳（英語以外）
pastel (medium),パステル
vehicle request,車両リクエスト
krita (medium),クリタ（中）
epilepsy warning,パカパカ演出
bad artstation id,悪いアートステーションID
costume request,コスチュームリクエスト
eyecatch,アイキャッチ
source filmmaker (medium),ソースフィルムメーカー（ミディアム）
portuguese commentary,ポルトガルの解説
parody request,パロディリクエスト
corrupted metadata,破損したメタデータ
contest winner,コンテストの勝者
24-hour relay,24h接力
bad yandere id,悪いヤンデレID
reverse translation,逆翻訳
e-hentai sample,e-Hentaiサンプル
artstation sample,アートステーションサンプル
deviantart sample,DeviantArtサンプル
mousepad (medium),立体マウスパッド
partially annotated,部分的に注釈が付けられました
papercraft (medium),ペーパークラフト（中程度）
tegaki draw and tweet,テガキは描画とツイートを描きます
exif rotation,exif回転
rotated,回転
headshop,ヘッドショップ
cosplay request,コスプレリクエスト
official art redraw,公式絵を元に自分絵で描くタグ
german commentary,ドイツの解説
vietnamese commentary,ベトナムの解説
yandere sample,Yandereサンプル
game model,ゲームモデル
medium request,中程度のリクエスト
corrupted file,破損したファイル
hairstyle request,ヘアスタイルのリクエスト
animal request,動物のリクエスト
emofuri,えもふり
magazine request,雑誌のリクエスト
plant request,植物のリクエスト
has watermarked revision,透かし式の改訂があります
bird request,鳥のリクエスト
animated png,アニメーションpng
zbrush (medium),Zbrush（中）
ugoira conversion,ウゴイラ変換
flower stand art,フラスタイラスト
masking tape (medium),マスキングテープ
color ink (medium),カラーインク
ai-generated background,AI生成背景
bad pawoo id,悪いPawoo ID
lossless-lossy,ロスレス損失
reversed,逆
app filter,ガラスエフェクト
medibang paint (medium),メディバンペイント
italian commentary,イタリアの解説
gouache (medium),ガッシュ
has cropped revision,修正をトリミングしました
roulette animation,ルーレットGIF
mecha request,メカリクエスト
color halftone,カラーハーフトーン
flipnote studio (medium),うごメモ
gif artifacts,GIFアーティファクト
character counter request,文字カウンターリクエスト
collage (medium),コラージュ
custom maid 3d 2,カスタムメイド3D2
download link,ダウンロードリンク
gumroad reward,ガムロード報酬
non-repeating animation,非回復アニメーション
thumbnail surprise,サムネイルの驚き
reference request,参照リクエスト
nai diffusion,nai拡散
hair ornament request,髪の飾りリクエスト
song request,歌のリクエスト
check source,ソースを確認してください
blueprint (medium),図面
bad tinami id,悪いティナミID
gesture request,ジェスチャーリクエスト
recolored,再び復活しました
bad aspect ratio,悪いアスペクト比
flash game,フラッシュゲーム
bad newgrounds id,悪いnewgrounds id
autodesk 3ds max (medium),Autodesk 3DS Max（Medium）
fixed,修理済み
zip available,zipが利用可能
style request,スタイルリクエスト
acrylic stand (medium),アクリルスタンド(媒体)
bleed through,裏写り
neckwear request,ネックウェアのリクエスト
color banding,カラーバンド
animal ear request,動物の耳のリクエスト
lego (medium),レゴ
food art (medium),食べ物絵
paper cutout (medium),切り絵
nicoseiga sample,nicoseigaサンプル
bad drawcrowd id,悪いdrawcrowd ID
cleaned,掃除
nurimas,塗りマス
location request,ロケーションリクエスト
crayon (medium),クレヨン
fish request,魚のリクエスト
color issue,色の問題
kisekae,kisekae
twitter banner,Twitterバナー
stop motion animation,コマ撮り
model kit (medium),ガンプラ
brush (medium),ブラシ（中）
poorly translated,翻訳が不十分です
rotoscoping,ロトスコープ
cursor (medium),マウスカーソル
instrument request,機器のリクエスト
animatic,アニマティック
avatar generator,アバタージェネレーター
has lossy revision,損失のある改訂があります
huashijie (medium),画世界
vrchat (medium),VRチャット
3d custom girl,3Dカスタム少女
binding discoloration,結合変色
print (medium),印刷（中）
airbrush (medium),エアブラシ（中）
fake translation,偽の翻訳
charcoal (medium),木炭（中）
exif thumbnail surprise,サムネイルのサプライズをexif
reference photo,参照写真
bad google+ id,悪いGoogle+ ID
environment study,背景練習
webp-to-png conversion,WebPからPNGへの変換
bad cghub id,悪いCGHUB ID
bad e-hentai id,悪いe-Hentai ID
clay (medium),软陶
latte art (medium),ラテアート
midjourney,ミッドジャーニー
coupy pencil (medium),クーピーペンシル
noise reduction,ノイズ減少
wallpaper forced,壁紙が強制されました
reference work request,参照作業リクエスト
drawcrowd sample,DrawCrowdサンプル
fantia commission,ファンタ委員会
scan dust,ほこりをスキャンします
unity (medium),ユニティ
konachan sample,コナチャンのサンプル
amigurumi (medium),編みぐるみ
aircraft request,航空機のリクエスト
