1girl,女の子
arms behind back,後ろ手
bed sheet,シーツ
on side,松葉崩し
thigh boots,サイハイブーツ
light blush,軽い赤面
sharp teeth,ギザ歯
bottomless,ボトムレス
tank top,タンクトップ
crossed arms,腕組み
white apron,白いエプロン
cleavage cutout,谷間ホール
frilled sleeves,フリルスリーブ
motion lines,运动线
back,魅惑の背中
white pupils,白色瞳孔
black nails,黑色指甲
heart-shaped pupils,目がハート
umbrella,傘
pink bow,ピンクの弓
stuffed toy,ぬいぐるみ
red necktie,赤いネクタイ
arm support,手を突く
table,テーブル
oral,口交
from below,ローアングル
cat,ねこ
ass visible through thighs,前から見えるお尻
4koma,4コマ漫画
smartphone,スマートフォン
military uniform,セクシー軍服
gem,宝石
no panties,はいてない
grass,草
x hair ornament,Xヘアオーナメント
frilled skirt,フリルスカート
own hands together,一緒に手を
wolf ears,狼耳
eating,もぐもぐ
red bowtie,赤いボウタイ
crying,泣く
yaoi,腐向け
garter straps,ガーターベルト
helmet,ヘルメット
elf,エルフ
leg up,片足上げ
red flower,赤い花
magical girl,変身ヒロイン
bound,縛られた
blue ribbon,青いリボン
parody,パロディ
holding cup,手持杯子
red shirt,赤シャツ
black leotard,黒レオタード
shirt lift,たくし上げ
wariza,ぺたん座り
clothes pull,拉下衣服
light smile,微笑み
scrunchie,シュシュ
military,ミリタリー
trembling,震える
ear piercing,耳洞
fire,火
obi,帯
6+girls,六人以上の女の子
spiked hair,ツンツン頭
scar on face,スカーフェイス
denim,デニム
suit,スーツ
mob cap,モブキャップ
crossed legs,足組み
feathers,羽毛
sex from behind,バック
grey shirt,灰色のシャツ
crossed bangs,交叉刘海
?,きょとんハテナ
clenched teeth,歯ぎしり
black necktie,黒いネクタイ
3boys,三人の男の子
moon,月亮
eyes visible through hair,透过头发可见的眼睛
sisters,姉妹
cross,十字架
eyepatch,アイパッチ
cloudy sky,曇り空
black belt,黒帯
skin fang,虎牙(皮下)
shoulder armor,肩当て
hair tubes,ヘアチューブ
sunlight,日光
feathered wings,羽の羽
wavy mouth,波浪嘴
plant,植物
facing viewer,面朝观众
headgear,ヘッドギア
holding gun,手持枪
double-parted bangs,双分刘海
straight hair,ストレートヘア
juliet sleeves,ジュリエットスリーブ
holding phone,手持电话
sleeping,寝る
bottle,瓶
mouth hold,咥える
yellow background,黄色背景
couple,カップル
looking up,見上げる
backpack,バックパック
bug,こんちゅう
strapless leotard,无肩带紧身衣
t-shirt,Tシャツ
crown,王冠
black coat,黒いコート
puffy long sleeves,蓬松长袖
outside border,出框
tassel,タッセル
blazer,ブレザー
eyewear on head,頭のアイウェア
thigh gap,絶対空域
animal print,動物柄
fellatio,フェラ
veil,ベール
straddling,馬乗り
bandaid,絆創膏
dot nose,ドットノーズ
pink dress,粉色连衣裙
sneakers,スニーカー
suspenders,サスペンダー
kiss,キス
skirt lift,スカートめくり
stuffed animal,毛绒动物玩具
grabbing another's breast,乳鷲掴み
red background,红色背景
white shoes,白い靴
;d,; d
red jacket,赤いジャケット
pink flower,ピンクの花
> <,かざり目
outstretched arm,手を伸ばす
bara,ホモ
head wings,頭羽
pointing,指差し
outstretched arms,手を広げる
brooch,ブローチ
single hair bun,お団子頭
robot,ロボット
fishnets,渔网
cover,封面
curtains,カーテン
slit pupils,ネコ目
on stomach,うつぶせ
girl on top,馬乗り
messy hair,くせ毛
white sailor collar,白い船乗りの首輪
blue sailor collar,ブルーセーラーカラー
extra ears,四つ耳
dog ears,いぬみみ
meme,海外ミーム
white pantyhose,白タイツ
knife,ナイフ
official alternate hairstyle,セカンドヘアスタイル
hand on own chest,胸に手
outline,轮廓线
topless female,トップレス
white ribbon,白いリボン
hooded jacket,パーカー
aged down,ショタ化
demon tail,悪魔しっぽ
logo,ロゴ
lifting own clothes,たくしあげ
alternate breast size (larger),巨乳化
breasts out,乳出し
tiara,ティアラ
red nails,红色指甲
bdsm,ボンデージ
clenched hand,握り拳
black bra,黒ブラジャー
goggles,ゴーグル
rabbit tail,うさぎしっぽ
green skirt,緑のスカート
short twintails,二つ結び
crossover,クロスオーバー
wing collar,ウィングカラー
star (sky),恒星
hat ribbon,ハットリボン
hat bow,帽子の弓
side braid,单侧发辫
building,ビル
knee boots,ロングブーツ
bent over,前かがみ
white sleeves,白い袖
polka dot,水玉
loafers,ローファー
katana,刀
single thighhigh,片足ニーハイ
staff,杖
group sex,群交
armband,腕章
low ponytail,ローポニーテール
knees up,膝盖抬起
shaded face,阴影脸
light particles,光中尘埃
claws,クロー
grey skirt,灰色のスカート
instrument,楽器
ribbon trim,丝带饰边
underwear only,下着姿
anger vein,怒りマーク
all fours,四つん這い
monster girl,モンスター娘
maid apron,女仆围裙
drooling,よだれ
formal clothes,フォーマル
hood up,フードアップ
blue necktie,青いネクタイ
pantyshot,パンチラ
tachi-e,立ち絵
tan,日焼け
open coat,オープンコート
hair over shoulder,肩越しの髪
cropped jacket,クロップジャケット
box,ボックス
purple dress,紫色连衣裙
child,幼女
chibi only,ちびキャラ
...,省略号
spoken heart,話された心
cloak,マント
highleg leotard,ハイレグレオタード
qipao,チャイナドレス
strapless dress,ベアトップワンピース
mole under mouth,艶ぼくろ
trap,男の娘
butterfly,蝴蝶
sleeves past fingers,萌え袖
no pants,スカートはいてない
red neckerchief,红领巾
couch,ソファー
towel,バスタオル
musical note,音符
school swimsuit,スクール水着
round eyewear,丸メガネ
colored sclera,色付き強膜
crescent,みかづき
curvy,むちむち
bat wings,コウモリの翼
steam,湯けむり
areola slip,輪チラ
candy,あめ
5girls,5ガールズ
blue nails,蓝色指甲
o-ring,Oリング
dragon horns,龙角
lipstick,カラーリップ
polearm,ポールウェポン
scenery,ファンタジー風景
index finger raised,竖起食指
pelvic curtain,前垂れ
pink nails,ピンクネイル
anal,アナル
cropped torso,下身裁切
surprised,驚く
sex toy,大人のおもちゃ
toenails,脚指甲
black vest,黒いベスト
bondage,ボンデージ
pale skin,色白
cherry blossoms,桜の花
gold trim,金色饰边
eyeshadow,アイシャドウ
buckle,バックル
holding book,手持书
hand on own face,单手托腮
bridal gauntlets,新娘手套
microphone,マイク
arms behind head,ホールドアップ先輩
ejaculation,ビュービュー系
waist apron,ウエストエプロン
striped thighhighs,縞ニーソ
tearing up,泣き顔
pink shirt,ピンクシャツ
yellow bow,黄色い弓
one eye covered,片目で覆われた
pom pom (clothes),绒球
white pants,白裤子
single earring,单个耳饰
white coat,白いコート
cropped legs,腿部出画
baseball cap,棒球帽
revealing clothes,エロ衣装
twin drills,ツインドリル
lace trim,蕾丝边
rope,ロープ
restrained,後ろ手縛り
web address,ウェブアドレス
letterboxed,レターボックス
wristband,リストバンド
foreshortening,透视收缩
hair rings,ドーナツヘア
cover page,表紙
male pubic hair,チン毛
furrowed brow,眉間に皺を寄せる
undressing,脱ぐ
faceless,无脸
black wings,黒い翼
sheath,鞘
blue shorts,青いショートパンツ
eye contact,見つめ合う
short hair with long locks,長いロックの短い髪
gauntlets,ガントレット
hair bobbles,ヘアゴム
breast press,あててんのよ
wind,風
interlocked fingers,手と手
winter uniform,冬服
red gloves,红手套
lingerie,ランジェリー
black bowtie,黒いボウタイ
hakama,袴
furry female,メスケモ
string bikini,紐ビキニ
multiple tails,複数の尾
beard,胡须
blue flower,青い花
robe,ローブ
adapted costume,衣装アレンジ
plate,皿
camisole,キャミソール
red shoes,赤い靴
purple background,紫色背景
neck bell,鈴首輪
^^^,^^^
nature,自然
green background,绿色背景
white wings,白い翼
corset,コルセット
demon wings,悪魔羽
spikes,刺
frilled apron,フリルエプロン
pink skirt,ピンクのスカート
purple bow,紫色の弓
sweater vest,ニットベスト
furry male,ケモショタ
green bow,緑の弓
brown gloves,褐手套
multicolored eyes,多色眼瞳
happy birthday,お誕生日おめでとうございます
patreon username,Patreonユーザー名
skirt set,スカートセット
casual,カジュアル
clothing aside,股布ずらし
black horns,黒い角
breath,呼吸
pink ribbon,ピンクのリボン
arm at side,横に腕
carrying,おんぶ
between breasts,おっぱいポケット
tsurime,ツリ目
grey jacket,灰色のジャケット
yellow shirt,黄シャツ
bike shorts,スパッツ
vertical-striped clothes,竖条纹服饰
semi-rimless eyewear,半框眼镜
armlet,アームレット
black sailor collar,ブラックセーラーカラー
two-tone background,双色背景
high collar,高领
green jacket,緑ブレザー
veins,脈
close-up,特写
:p,闭嘴吐舌
white skin,白肌
brown jacket,茶色のジャケット
genderswap,ショタ化
freckles,そばかす
forehead,おでこ
dragon girl,ドラゴン娘
spot color,单色基调
dual persona,同キャラ
glowing eyes,光る目
pink panties,ピンクパンツ
breasts apart,流れ乳
motor vehicle,自動車
wet clothes,濡れ透け
purple shirt,紫のシャツ
angry,怒り
peaked cap,かんぼう
androgynous,中性的
facial,顔射
black sleeves,黒い袖
white hairband,白いヘアバンド
wolf tail,おおかみしっぽ
clenched hands,グー
pocket,口袋
brown background,棕色背景
hand fan,手扇
tentacles,触手
floating,レビテーション
blue bikini,青ビキニ
toned,健壮
frilled shirt collar,褶边领
beads,ビーズ
blue pants,青パンツ
micro bikini,マイクロビキニ
bow panties,弓パンティー
brown pantyhose,茶色のパンスト
side slit,スリット(洋服)
clothes writing,文字Tシャツ
panty pull,パンツ下ろし
clothed female nude male,服を着た女性のヌード男性
wolf girl,狼娘
licking,ぺろぺろ
white outline,白フチ
blood on face,顔に血
green dress,绿色连衣裙
jingle bell,猫铃铛
science fiction,近未来
low-tied long hair,末端束发
half updo,ハーフアップ
paizuri,パイズリ
covering privates,隐私遮挡
rabbit girl,ウサギ娘
knee up,坐立腿
smoke,煙
tareme,タレ目
single glove,シングルグローブ
sleeves rolled up,腕まくり
christmas,クリスマス
straight-on,正面
looking ahead,今後
doll,ドール
turtleneck sweater,タートルネック
drinking glass,グラス
topless male,上半身裸
cake,ケーキ
angel wings,天使の羽
high heel boots,高跟靴
mole on breast,乳ぼくろ
wide hips,デカ尻
large pectorals,雄っぱい
white kimono,白色和服
blue halo,蓝色光环
shirt tucked in,シャツイン
desk,桌子
zipper,ジッパー
!,！
thought bubble,思考バブル
hair flaps,侧翘
green shirt,緑のシャツ
mary janes,ストラップシューズ
purple skirt,紫色裙子
black-framed eyewear,黒縁眼鏡
crossdressing,異性装
reflection,映り込み
colored eyelashes,カラーまつ毛
track jacket,ジャージ
hair scrunchie,发圈
snow,雪
asymmetrical legwear,非対称のレッグウェア
rifle,ライフル
@ @,ぐるぐる目
cowgirl position,アナル騎乗位
ball,ボール
full moon,満月
mecha,メカ
gift,贈り物
wading,水遊び
thong,Tバック
white shorts,白いショートパンツ
pencil skirt,タイトスカート
copyright notice,版权符号
high-waist skirt,ハイウエストスカート
anime coloring,アニメ塗り
crying with eyes open,睁眼流泪
long skirt,ロングスカート
long fingernails,长指甲
:<,への字口
spoken ellipsis,省略号对话框
star hair ornament,星の髪の飾り
arm behind back,後ろの腕
cum on breasts,胸部上的精液
walking,歩く
clothed sex,着衣セックス
black bodysuit,ブラックボディスーツ
handgun,ハンドガン
yellow flower,黄色い花
pink halo,粉色光环
belt buckle,ベルトのバックル
front-tie top,フロントタイトップ
kemonomimi mode,けもみみモード
blue bowtie,ブルーボウタイ
starry sky,星空
skin tight,ぴっちり
fake tail,付け尻尾
purple flower,紫色の花
wide-eyed,瞠目
hand on another's head,他の人の頭に手をかけます
notice lines,気付く
frilled bikini,フリルビキニ
hand in pocket,ポケットに手
handjob,手コキ
pauldrons,ポールドロン
finger to mouth,口に手
strap slip,肩紐ずらし
headset,ヘッドセット
holding umbrella,傘を保持します
blunt ends,鈍い終わり
sound effects,オノマトペ
after sex,歩き事後
arm behind head,单臂放在脑后
pouch,小包
heavy breathing,喘ぐ
hair behind ear,耳の後ろの髪
tray,お盆
single horn,一角
faceless male,无脸男
striped shirt,ストライプシャツ
sports bra,スポーツブラ
brown skirt,茶色のスカート
long dress,ロングドレス
futanari,ふたなり
blouse,ブラウス
age difference,年の差
fish,さかな
goggles on head,頭のゴーグル
convenient censoring,見えない構図
masturbation,オナニー
lens flare,レンズフレア
collared dress,翻领连衣裙
between legs,足の間
dog girl,いぬ娘
summer uniform,夏服
holding staff,手持杖
seiza,正座
sailor dress,セーラーワンピース
empty eyes,レイプ目
braided ponytail,编发马尾辫
chinese text,中国語
striped panties,縞パン
jitome,ジト目
cigarette,タバコ
lace,レース
:q,ペコ舌
ear covers,耳套
mature female,ママン
fins,ヒレ
unworn headwear,没戴的帽子
shoulder bag,ショルダーバッグ
dog tail,犬しっぽ
ribbon-trimmed sleeves,巫女袖子
missing headwear,帽子なし
yellow ribbon,黄色のリボン
2koma,2コマ
santa hat,サンタ帽
denim shorts,デニムパンツ
reaching,到達
forest,もり
alcohol,お酒
sideways glance,流し目
side-tie panties,紐パン
missionary,腕掴み正常位
red scarf,赤マフラー
cleft of venus,すじ
oni,おに
rain,雨
short ponytail,ショートポニーテール
ribbed sweater,たてセタ
one-hour drawing challenge,Threads版深夜の真剣お絵描き60分一本勝負
curtained hair,窗帘式刘海
pendant,ペンダント
puffy nipples,パフィーニップル
genderswap (mtf),にょたゆり
rape,レイプ
dragon tail,龙尾
top hat,シルクハット
long bangs,両目隠れ
striped bow,縞模様の弓
layered sleeves,重ねられた袖
hakama skirt,行灯袴
legs up,足上げ
curly hair,巻き毛
brown belt,茶色のベルト
hair spread out,散开的头发
hand in own hair,髪に手
emphasis lines,集中線
pov hands,POVハンド
pink lips,粉嘴唇
animal hands,肉球
tokin hat,ときん
bulge,もっこり
4boys,4boys
legs apart,双腿分开(站立)
twins,双子
partially submerged,部分淹没
red bikini,赤ビキニ
animal focus,動物
fingering,手マン
personification,オリジナル艦娘
height difference,身長差
condom,コンドーム
white leotard,白レオタード
large areolae,デカ乳輪
bubble,シャボン玉
white bra,白ブラ
large penis,巨根
santa costume,サンタ服
bandaged arm,包帯腕
pink jacket,ピンクのジャケット
mouth mask,カラスマスク
crossdressing (mtf),女水着チャレンジ
backlighting,逆光
shrug (clothing),シュラグ
asymmetrical bangs,不对称刘海
tinted eyewear,有色眼镜
hat ornament,帽子飾り
ass focus,尻アングル
mature male,おじさん
eyeliner,アイライン
falling petals,花吹雪
heart hair ornament,ハートヘアの飾り
lapels,ラペル
red rose,红玫瑰
low wings,腰羽
head rest,ヘッドレイツ
epaulettes,エポレット
torn pantyhose,破れストッキング
jeans,ジーンズ
halloween,ハロウィン
off-shoulder dress,オフショルダードレス
hoop earrings,フープイヤリング
cuffs,手枷
running,走る
paper,紙
black collar,黒い襟
raised eyebrows,眉を上げた
korean text,ハングル
hands on own hips,腰に手
blue one-piece swimsuit,青いワンピース水着
red cape,红披风
teacup,ティーカップ
red-framed eyewear,赤縁メガネ
bikini top only,裸ビキニトップ
plump,むちむち
threesome,三人組
out of frame,見切れ
hair down,髪下ろし
parent and child,親子
flying,飛ぶ
orange background,橙色背景
bowl,お椀
back bow,弓の後ろ
cumdrip,垂らし事後
drinking straw,ストロー
school bag,スクールバッグ
stud earrings,耳钉
cropped shirt,クロップドシャツ
hand on another's shoulder,他の人の肩に手をかけます
dress lift,掀裙
dog,イヌ
bags under eyes,目のクマ
monster,モンスター
stubble,無精髭
watch,時計
double v,ダブルピース
6+boys,6+男の子
lolita fashion,ロリィタファッション
gym uniform,襟付きジップアップ体操服
bouquet,ブーケ
grey pants,灰色のズボン
purple nails,紫色指甲
doggystyle,ドギースタイル
flipped hair,外ハネ
sun hat,つば広帽子
holding flower,手に花
steaming body,蒸れ
tentacle hair,触手髪
knees together feet apart,X脚
blurry foreground,虚化前景
broom,ほうき
short eyebrows,オン眉
+ +,目がしいたけ
tanlines,日焼け跡
tracen school uniform,トレセン学園制服
mug,マグカップ
foot out of frame,单脚出框
arm tattoo,アームタトゥー
black serafuku,黒セーラー
dual wielding,二挺拳銃
spread pussy,くぱぁ
lab coat,白衣
double-breasted,両前
holding knife,手持刀
veiny penis,静脈ペニス
breastplate,胸当て
on chair,椅子の上
holding unworn clothes,手持未穿戴的服装
buruma,ブルマ
partially fingerless gloves,部分的に指のない手袋
cum in mouth,口内射精
scar across eye,眼上伤疤
brother and sister,兄妹
mirror,かがみ
pajamas,パジャマ
open book,オープンブック
white sweater,白いセーター
brown dress,棕色连衣裙
blue gloves,蓝手套
cum overflow,溢れ精液
wooden floor,フローリング
facing away,後ろ姿
heart hands,手でハート
red hairband,赤いヘアバンド
waving,手を振る
mustache,口ひげ
circlet,サークレット
yellow jacket,イエロージャケット
blue skin,青肌
innertube,浮き輪
injury,傷
eyebrows,眉毛
blue theme,青い
armpit crease,腋下褶皱
lollipop,ぼうあめ
upskirt,逆さ撮り
serious,真剣な表情
red lips,红嘴唇
blue kimono,ブルー着物
yellow ascot,黄色いアスコット
fur-trimmed jacket,毛皮のトリミングされたジャケット
toenail polish,ペディキュア
fake horns,偽の角
bandaid on face,顔にバンダイド
poke ball,モンスターボール
ringed eyes,ぐるぐる目
drawstring,ドローストリング
black cape,ブラックケープ
arrow (symbol),矢印
sunset,夕焼け
single side bun,单侧发髻
on floor,床で
split mouth,口を裂く
under-rim eyewear,アンダーリム
can,缶
zoom layer,缩放图层
sideburns,もみあげ
bouncing breasts,乳揺れ
enmaided,執っていた
mini hat,ミニハット
lantern,ランタン
arms at sides,側面の腕
fishnet pantyhose,網タイツ
forehead mark,額のマーク
doujin cover,あなたの同人誌表紙見せて
rabbit,うさぎ
chromatic aberration,色収差
competition swimsuit,競泳水着
hug from behind,後ろからハグ
:t,ふくれっ面
!?,！？
shawl,ショール
glint,グリント
leash,リード
yellow halo,黄色光环
lace-up boots,編み上げブーツ
shield,盾
red halo,红色光环
visor cap,サンバイザー
center frills,センターフリル
holding bag,手持包
print bikini,柄ビキニ
card,カード
foot focus,足フェチ
contrapposto,コントラポスト
