hatsune miku,初音ミク
gawr gura,がうるぐら
mystia lorelei,ミスティア・ローレライ
frieren,フリーレン
koakuma,こあ
nazrin,ナズーリン
mika (blue archive),聖園ミカ
ibuki suika,伊吹萃香
shirakami fubuki,白上フブキ
cloud strife,クラウド・ストライフ
inaba tewi,因幡てゐ
inkling player character,インクリング
usami renko,宇佐見蓮子
hoshimachi suisei,星街すいせい
maribel hearn,マエリベリー・ハーン
hoshino (blue archive),小鳥遊ホシノ
wanderer (genshin impact),流浪者
rio (blue archive),調月リオ
hijiri byakuren,ひじぱい
trainer (umamusume),トレーナー(ウマ娘プリティーダービー)
hu tao (genshin impact),フータオ
ouro kronii,オーロ・クロニー
houjuu nue,封獣ぬえ
kongou (kancolle),金剛(艦隊これくしょん)
agnes tachyon (umamusume),アグネスタキオン(ウマ娘)
megurine luka,巡音ルカ
furina (genshin impact),フリーナ
aether (genshin impact),空
nanami chiaki,七海千秋
jeanne d'arc alter (fate),ジャンヌ・オルタ
inazuma (kancolle),電(艦隊これくしょん)
inkling girl,イカガール
yagokoro eirin,八意永琳
elysia (honkai impact),エリシア
nahida (genshin impact),ナヒーダ
mizuhashi parsee,水橋パルスィ
yasaka kanako,八坂神奈子
manhattan cafe (umamusume),マンハッタンカフェ(ウマ娘)
stelle (honkai: star rail),星(スターレイル)
akagi (kancolle),赤城(艦隊これくしょん)
kisaki (blue archive),竜華キサキ
fubuki (kancolle),吹雪(艦隊これくしょん)
doctor (arknights),ドクター
abigail williams (fate),異端なるセイレム
ninomae ina'nis,一伊イナニス
mori calliope,森カリオペ
yae miko,ぐうじ
2b (nier:automata),ヨルハ二号B型
kagiyama hina,厄リスマス
yuudachi (kancolle),夕立(艦隊これくしょん)
toki (blue archive),飛鳥馬トキ
amiya (arknights),アーミヤ
tenryuu (kancolle),天龍(艦隊これくしょん)
usada pekora,兎田ぺこら
aerith gainsborough,エアリス・ゲインズブール
aris (blue archive),天童アリス
nekomata okayu,猫又おかゆ
shigure kai ni (kancolle),時雨改二
producer (idolmaster),プロデューサー(アイドルマスター)
shiroko (blue archive),砂狼シロコ
toyosatomimi no miko,豊聡耳神子
ikazuchi (kancolle),雷(艦隊これくしょん)
kayoko (blue archive),鬼方カヨコ
yor briar,ヨル・ブライア
nero claudius (fate),ネロ・クラウディウス(Fate)
daiyousei,大ちゃん
mari (blue archive),伊落マリー
togawa sakiko,オブリビオニス
manjuu (azur lane),饅頭(アズールレーン)
kazusa (blue archive),杏山カズサ
illyasviel von einzbern,イリヤスフィール・フォン・アインツベルン
suzumiya haruhi,涼宮ハルヒ
makima (chainsaw man),マキマ
nami (one piece),ナミ(ONEPIECE)
kirby,カービィ
tohsaka rin,遠坂凛
hamakaze (kancolle),浜風(艦隊これくしょん)
misaka mikoto,御坂美琴
megumin,めぐみん
zuikaku (kancolle),瑞鶴(艦隊これくしょん)
akatsuki (kancolle),暁(艦隊これくしょん)
nishizumi miho,西住みほ
hoshiguma yuugi,星熊勇儀
akiyama mio,秋山澪
gold ship (umamusume),ゴールドシップ(ウマ娘)
mononobe no futo,布都もも
shiki eiki,四季映姫・ヤマザナドゥ
chihaya anon,あのそよ
takanashi kiara,小鳥遊キアラ
haruna (kancolle),榛名(艦隊これくしょん)
ayanami rei,綾波レイ
wriggle nightbug,リグル・ナイトバグ
shanghai doll,上海人形
onozuka komachi,小野塚小町
phainon (honkai: star rail),ファイノン(スターレイル)
sakura miko,さくらみこ
koharu (blue archive),下江コハル
rem (re:zero),レム
zhongli (genshin impact),钟离
imaizumi kagerou,今泉影狼
reze (chainsaw man),レゼ
morichika rinnosuke,森近霖之助
fate testarossa,フェイト・テスタロッサ
kashima (kancolle),鹿島(艦隊これくしょん)
sakayori iroha,かぐいろ
yuudachi kai ni (kancolle),夕立改二
tokoyami towa,常闇トワ
rice shower (umamusume),ライスシャワー(ウマ娘)
mona (genshin impact),モナ(原神)
nagato (kancolle),長門(艦隊これくしょん)
yuzuki yukari,結月ゆかり
oma kokichi,王馬小吉
fern (sousou no frieren),フェルン
nanashi mumei,七詩ムメイ
march 7th (honkai: star rail),三月なのか
belle (zenless zone zero),リン(ゼンゼロ)
minato aqua,湊あくあ
pyra (xenoblade),ホムラ
scathach (fate),スカサハ
dawn (pokemon),ヒカリ(トレーナー)
ellen joe,エレン・ジョー
rover (wuthering waves),漂泊者
suzuya (kancolle),鈴谷(艦隊これくしょん)
kyubey,キュゥべえ
kita ikuyo,ぼ喜多
seia (blue archive),百合園セイア
lillie (pokemon),リーリエ(ポケモン)
nakano azusa,けいおん!!2年生トリオ
columbina (genshin impact),コロンビーナ(原神)
nagato yuki,ハル長
nagasaki soyo,長崎そよ
wise (zenless zone zero),アキラ(ゼンゼロ)
tamamo no mae (fate),キャスター(Fate/EXTRA)
chun-li,チュン・リー
hinoshita kaho,花帆ちゃん無自覚攻撃シリーズ
kinomoto sakura,木之本さくら
kaito (vocaloid),カイト
ryuujou (kancolle),龍驤(艦隊これくしょん)
hirasawa yui,ゆいあず
toramaru shou,寅丸星
cyrene (honkai: star rail),キュレネ
himekaidou hatate,姫海棠はたて
caelus (honkai: star rail),穹(スターレイル)
daiwa scarlet (umamusume),ダイワスカーレット(ウマ娘)
rosa (pokemon),メイ(トレーナー)
matoi ryuuko,まといりゅうこ
may (pokemon),ハルカ(トレーナー)
jeanne d'arc (fate),ジャンヌ・ダルク
miki sayaka (magical girl),さやか☆マギカ
murasa minamitsu,ムラサ
sunny (omori),サニー
princess peach,ピーチ姫
texas (arknights),テキサス
mejiro mcqueen (umamusume),メジロマックイーン(ウマ娘)
karin (blue archive),角楯カリン
noa (blue archive),生塩ノア
nishikigi chisato,ちさたき
mythra (xenoblade),ヒカリ(ゼノブレイド2)
kaku seiga,霍青娥
venti (genshin impact),ウェンティ(原神)
keqing (genshin impact),刻晴
nishikino maki,にこまき
midoriya izuku,デク
serval (kemono friends),サーバル
plana (blue archive),プラナ
gilgamesh (fate),ギルガメッシュ
ookami mio,大神ミオ
houshou (kancolle),鳳翔(艦隊これくしょん)
takamachi nanoha,高町なのは
paimon (genshin impact),パイモン
basil (omori),バジル
joseph joestar,ジョセフ・ジョースター
kafuu chino,チノ
monkey d. luffy,モンキー・D・ルフィ
marnie (pokemon),マリィ(トレーナー)
hilda (pokemon),トウコ(トレーナー)
hata no kokoro,秦こころ
suletta mercury,スレッタ・マーキュリー
kafka (honkai: star rail),カフカ
denji (chainsaw man),デンジ
saihara shuichi,最原終一
okita souji (fate),沖ぱい
oozora subaru,大空スバル
sparkle (honkai: star rail),花火(スターレイル)
samus aran,サムス・アラン
oyama mahiro,緒山まひろ
arona (blue archive),アロナ
hoshimi miyabi,星見雅
yazawa nico,矢澤にこ
tojo nozomi,のんたん
emiya shirou,衛宮士郎
adachi rei,足立レイ
iseri nina,になもも
shuten douji (fate),酒呑童子(Fate)
murakumo (kancolle),叢雲(艦隊これくしょん)
kiana kaslana,キアナ
momoi (blue archive),才羽モモイ
sonoda umi,海未ちゃん
amane kanata,天音かなた
amatsukaze (kancolle),天津風(艦隊これくしょん)
shiina taki,りっきー
ijichi nijika,リョウ虹
shiori novella,シオリ・ノヴェラ
nico robin,ニコ・ロビン
ibaraki kasen,扇ぱい
kujo jotaro,空条承太郎
yukihana lamy,雪花ラミィ
astolfo (fate),アストルフォ(Fate)
cynthia (pokemon),シロナ
nagae iku,永江衣玖
misumi uika,ういさき
aru (blue archive),陸八魔アル
gawr gura (1st costume),がうる・ぐら(通常)
komaeda nagito,狛枝凪斗
yamato (kancolle),大和(艦隊これくしょん)
tainaka ritsu,田井中律
hanako (blue archive),浦和ハナコ
miyako yoshika,宮古芳香
nerissa ravencroft,ネリッサ・レイヴンクロフト
hakos baelz,ハコス・ベールズ
fujishima megumi,めぐちゃんへのらぶれたあ
saotome ranma,らんま
shibuya rin,渋谷凛
wakaba mutsumi,むつさき
yukikaze (kancolle),雪風(艦隊これくしょん)
ushio (kancolle),潮(艦隊これくしょん)
bakugou katsuki,ばくごう
tartaglia (genshin impact),タルタリア
baobhan sith (fate),妖精騎士トリスタン
female byleth (fire emblem),ベレス
clownpiece,クラウンピース
kamisato ayaka,神里绫华
sua (alien stage),スア
kaguya (cho kaguya-hime!),かぐや(超かぐや姫!)
kawaragi momoka,になもも
watson amelia,ワトソン・アメリア
inugami korone,戌神ころね
shirogane noel,白銀ノエル
saber alter,セイバーオルタ
miorine rembran,ミオリネ・レンブラン
ayase eli,エリーチカ
eevee,イーブイ
otomune kozue,こずかほ
klee (genshin impact),クレー
kasodani kyouko,幽谷響子
soga no tojiko,蘇我屠自古
archer (fate),アーチャー
morrigan aensland,モリガン・アーンスランド
atago (kancolle),愛宕(艦隊これくしょん)
momose ginko,ぎんかほ
son goku,孫悟空(ドラゴンボール)
lappland (arknights),ラップランド
junko (touhou),純狐
mizi (alien stage),ミジ
kurodani yamame,黒谷ヤマメ
tokai teio (umamusume),トウカイテイオー(ウマ娘)
kumoi ichirin,雲居一輪
yahata umiri,うみたき
sakamata chloe,沙花叉クロヱ
murano sayaka,村野さやか
ako (blue archive),天雨アコ
kei (blue archive),天童ケイ
cu chulainn (fate),クー・フーリン(Fate)
nishizumi maho,西住まほ
meiko (vocaloid),メイコ
akebono (kancolle),曙(艦隊これくしょん)
shoukaku (kancolle),翔鶴(艦隊これくしょん)
asuna (bunny) (blue archive),アスナ(バニーガール)
hasumi (blue archive),羽川ハスミ
joseph joestar (young),ジョセフ・ジョースター
skadi (arknights),スカジ
matou sakura,サクランスロット
kisaragi chihaya,如月千早
tsukino usagi,月野うさぎ
suzuran (arknights),スズラン
hoshii miki,星井美希
inoue takina,井ノ上たきな
gloria (pokemon),ユウリ(トレーナー)
acheron (honkai: star rail),黄泉(スターレイル)
northern ocean princess,ほっぽ
sekibanki,ちちばんき
watanabe you,ようちか安心委員会
aqua (konosuba),アクア
anya (spy x family),アーニャ(SPY×FAMILY)
ooyodo (kancolle),大淀(艦隊これくしょん)
remielle dan,レミエール・ダン
kieran (pokemon),スグリ(ポケモン)
oshino shinobu,怪異殺し
darjeeling (girls und panzer),ダージリン
hinata hajime,日向創
kijin seija,鬼人正邪
shinosawa hiro,広ぬい
hk416 (girls' frontline),HK416(ドールズフロントライン)
power (chainsaw man),パワー(チェンソーマン)
oguri cap (umamusume),オグリキャップ(ウマ娘)
mordred (fate),モードレッド
nozomi (blue archive),橘ノゾミ
runami yachiyo,月見ヤチヨ
yamada ryo,山田リョウ
arcueid brunestud,アルクェイド
minamoto no raikou (fate),源頼光
osawa rurino,大沢瑠璃乃
bb (fate),ビィビィ
aki minoriko,秋穣子
kanna (blue archive),尾刃カンナ
shishiro botan,獅白ぼたん
kitakami (kancolle),北上(艦隊これくしょん)
izumi konata,泉こなた
hiiragi kagami,柊かがみ
midori (blue archive),才羽ミドリ
roronoa zoro,ロロノア・ゾロ
kitagawa marin,喜多川海夢
taihou (azur lane),大鳳(アズールレーン)
kal'tsit (arknights),ケルシー
mydei (honkai: star rail),モーディス(スターレイル)
hieda no akyuu,稗田阿求
ikari shinji,碇シンジ
eula (genshin impact),エウルア・ローレンス
shenhe (genshin impact),申鹤
sandrone (genshin impact),サンドローネ
dio brando,ディオ・ブランドー
mirko,ミルコ
saori (blue archive),錠前サオリ
amami haruka,天海春香
ishmael (project moon),イシュメール
rensouhou-chan,連装砲ちゃん
ash ketchum,サトシ(アニポケ)
silence suzuka (umamusume),サイレンススズカ(ウマ娘)
red (pokemon),レッド(ポケモン)
itsumi erika,逸見エリカ
asashio (kancolle),朝潮(艦隊これくしょん)
aubrey (omori),見た人もツインテールオーブリーを描く
mario,マリオ
morgan le fay (fate),モルガン(Fate)
fuwawa abyssgard,フワワ・アビスガード
xiao (genshin impact),魈
sonic the hedgehog,ソニック
don quixote (project moon),ドンキホーテ
hikari (blue archive),橘ヒカリ
mutsuki (blue archive),浅黄ムツキ
houshou marine (1st costume),宝鐘マリン(通常)
mococo abyssgard,モココ・アビスガード
asuna (sao),アスナ(SAO)
serena (pokemon),セレナ(トレーナー)
prinz eugen (kancolle),プリンツ・オイゲン
silver wolf (honkai: star rail),銀狼(スターレイル)
gumi,メグッポイド
kris (deltarune),クリス
nilou (genshin impact),ニィロウ
toki (bunny) (blue archive),飛鳥馬トキ(バニーガール)
shiranui mai,不知火舞
jane doe (zenless zone zero),ジェーン・ドゥ(ゼンゼロ)
higuchi madoka,とおまど
kikuchi makoto,きくちまこと
kotobuki tsumugi,琴吹紬
la+ darknesss,ラプラス・ダークネス
anyoji hime,1日1あにょ
mutsu (kancolle),陸奥(艦隊これくしょん)
kaban (kemono friends),かばん
sukuna shinmyoumaru,少名針妙丸
irys (hololive),アイリス
arlecchino (genshin impact),アルレッキーノ
angelina (arknights),アンジェリーナ
uraraka ochaco,麗日お茶子
c.c.,シーツー
anchovy (girls und panzer),アンチョビ
hecatia lapislazuli,ヘカーティア・ラピスラズリ
minami kotori,南ことり
marcille donato,マルシル
medusa (fate),メドゥーサ(Fate)
cammy white,キャミィ
boo tao (genshin impact),ブータオ（ジェンシンインパクト）
futatsuiwa mamizou,二ッ岩マミゾウ
yugiri tsuzuri,longヘアなつづり先輩がみたい
uzumaki naruto,うずまきナルト
artoria pendragon (lancer) (fate),アルトリア・ペンドラゴン(ランサー)
sephiroth,セフィロス
gojo satoru,五条悟
narukami yu,鋼のシスコン番長
iono (pokemon),ナンジャモ
cyrene (demiurge) (honkai: star rail),過去のさざ波
letty whiterock,レティ・ホワイトロック
raiden mei,雷电芽衣
neru (blue archive),美甘ネル
aki shizuha,秋静葉
female admiral (kancolle),女性提督
tatsuta (kancolle),龍田(艦隊これくしょん)
exusiai (arknights),エクシア(アークナイツ)
basil (faraway) (omori),バジル
takao (kancolle),高雄(艦隊これくしょん)
ceres fauna,セレス・ファウナ
ereshkigal (fate),エレシュキガル
shijou takane,四条貴音
ooi (kancolle),大井(艦隊これくしょん)
sendai (kancolle),川内(艦隊これくしょん)
musashi (kancolle),武蔵(艦隊これくしょん)
yumemi riamu,夢見りあむ
okita souji (koha-ace),桜セイバー
yuuki makoto (persona 3),キタロー
stocking (psg),アナーキー・ストッキング
nice nature (umamusume),ナイスネイチャ(ウマ娘)
bismarck (kancolle),ビスマルク
satono diamond (umamusume),サトノダイヤモンド(ウマ娘)
edelgard von hresvelg,エーデルガルト=フォン=フレスベルグ
miyu (blue archive),霞沢ミユ
bremerton (azur lane),ブレマートン
senketsu,鮮血(キルラキル)
haruno sakura,春野サクラ
caesar anthonio zeppeli,シーザー・アントニオ・ツェペリ
nakiri ayame,百鬼あやめ
akashi (kancolle),明石(艦隊これくしょん)
kachimachi kosuzu,徒町チャレンジ
yoko littner,ヨーコ・リットナー
shirasaka koume,しょうこうめ
shiranui (kancolle),不知火(艦隊これくしょん)
agnes tachyon (tach-nology) (umamusume),アグネスタキオン(tach-nology)
lucina (fire emblem),ルキナ
d.va (overwatch),D.VA（オーバーウォッチ）
sazanami (kancolle),漣(艦隊これくしょん)
amamiya ren,主人公(ペルソナ5)
tendou akane,天道あかね
nikki (nikki),ニキ
kasane teto (sv),重音テトSV
ibuki (blue archive),丹花イブキ
ishtar (fate),イシュタル
surtr (arknights),スルト
octoling player character,タコガール
sanji (one piece),サンジ
kosaka honoka,高坂穂乃果
akiyama yukari,あんこうチーム
shiranui flare,不知火フレア
zani (wuthering waves),ザンニー
rotom,ロトム
ange katrina,アンジュ・カトリーナ
robin (honkai: star rail),ロビン(スターレイル)
souryuu (kancolle),蒼龍(艦隊これくしょん)
wei wuxian,魏无羡
kasumi (kancolle),霞(艦隊これくしょん)
meltryllis (fate),メルトリリス
iowa (kancolle),アイオワ
murasaki shion,紫咲シオン
female rover (wuthering waves),女漂泊者
fu hua,フカ
kiryuuin satsuki,鬼龍院皐月
hakui koyori,博衣こより
ui (blue archive),古関ウイ
omori (omori),OMORI(キャラクター)
yuki miku,雪ミク
samidare (kancolle),五月雨(艦隊これくしょん)
miyamoto musashi (fate),武蔵ちゃん
emilia (re:zero),エミリア
wakasagihime,わかさぎ姫
hoshizora rin,金曜凛ちゃんりんりんりん
lily white,リリーホワイト
male rover (wuthering waves),男漂泊者
miyako (blue archive),月雪ミヤコ
raora panthera,ラオーラ・パンテーラ
yamashiro (kancolle),山城(艦隊これくしょん)
minase iori,みなせいおり
suigintou,水銀燈
tachibana arisu,橘ありす
symboli rudolf (umamusume),シンボリルドルフ(ウマ娘)
kishin sagume,稀神サグメ
selene (pokemon),ミヅキ(トレーナー)
kitasan black (umamusume),キタサンブラック(ウマ娘)
formidable (azur lane),フォーミダブル
kel (omori),ケルサニ
dan heng (honkai: star rail),丹恒
shu (arknights),シュウ(アークナイツ)
prinz eugen (azur lane),プリンツ・オイゲン(アズールレーン)
tatsumaki,戦慄のタツマキ
ro-500 (kancolle),呂500(艦これ)
koseki bijou,古石ビジュー
takamatsu tomori,ともりん
mari (omori),マリ
special week (umamusume),スペシャルウィーク(ウマ娘)
bronya zaychik,ブローニャ・ザイチク
commander (azur lane),指揮官(アズールレーン)
kuroki tomoko,もこっち
ultimate madoka,アルティメットまどか
hiei (kancolle),比叡(艦隊これくしょん)
shimamura uzuki,しまむらむらむら
sailor moon,セーラームーン
kim dokja,金獨子
atago (azur lane),愛宕(アズールレーン)
usada pekora (1st costume),兎田ぺこら(通常)
leon s. kennedy,レオン・S・ケネディ
nonomi (blue archive),十六夜ノノミ
akamatsu kaede,赤松楓
hifumi (blue archive),阿慈谷ヒフミ
twilight (spy x family),ロイド・フォージャー
amate yuzuriha,アマテ・ユズリハ
sagisawa fumika,鷺沢文香
herta (honkai: star rail),ヘルタ
verniy (kancolle),ヴェールヌイ
w (arknights),W(アークナイツ)
female corrin (fire emblem),カムイ(FEif)
rosalina,ロゼッタ
ex-keine,きもけーね
ganaha hibiki,がなはひびき
misty (pokemon),カスミ(ポケモン)
kirishima (kancolle),霧島(艦隊これくしょん)
mikasa ackerman,ミカサ・アッカーマン
vivian banshee,ビビアン・バンシー
uruha rushia,潤羽るしあ
takarada rikka,六アカ
shiroko terror (blue archive),砂狼シロコ(色彩)
yelan (genshin impact),イェラン
wo-class aircraft carrier,空母ヲ級
ahri (league),アーリ
nakano nino,中野二乃
touhoku kiritan,東北きりたん
takagaki kaede,高垣楓
elysia (herrscher of human: ego) (honkai impact),エリシア(人の律者)
hatsutori hajime,初鳥創
shirakami fubuki (1st costume),白上フブキ(通常)
kizuna akari,紲星あかり
chloe von einzbern,クロエ・フォン・アインツベルン
uchiha sasuke,うちはサスケ
nagisa kaworu,渚カヲル
curren chan (umamusume),カレンチャン(ウマ娘)
ump45 (girls' frontline),UMP45(ドールズフロントライン)
ichika (blue archive),仲正イチカ
artoria caster (fate),アルトリア・キャスター
tsushima yoshiko,よしまる普及委員会
furude rika,古手梨花
djeeta (granblue fantasy),ジータ
castorice (honkai: star rail),キャストリス(スターレイル)
natsuiro matsuri,夏色まつり
yuubari (kancolle),夕張(艦隊これくしょん)
karyl (princess connect!),キャル
sangonomiya kokomi,珊瑚宫心海
haru urara (umamusume),ハルウララ(ウマ娘)
reisalin stout,ライザリン・シュタウト
lize helesta,リゼ・ヘルエスタ
kaedehara kazuha,枫原万叶
faust (project moon),ファウスト
ch'en (arknights),チェン
hyuuga hinata,日向ヒナタ
medusa (rider) (fate),ライダー(Fate/staynight)
kazama iroha,風真いろは
black rock shooter (character),ブラック★ロックシューター
aotsuki eito,蒼月衛人
takatsuki yayoi,高槻やよい
yorigami shion,依神紫苑
zero two (darling in the franxx),ゼロツー(ダリフラ)
hex maniac (pokemon),オカルトマニア
nagisa (blue archive),桐藤ナギサ
doremy sweet,ドレミー・スイート
nicole demara,ニコ・デマラ
holo,ホロ
izuna (blue archive),イズナ
bridget (guilty gear),ブリジット
sumino takumi,澄野拓海
shampoo (ranma 1/2),シャンプー
march 7th (preservation) (honkai: star rail),三月なのか(存護)
kirigiri kyoko,霧切響子
kujo jolyne,空条徐倫
evelyn chevalier,イヴリン・シェヴァリエ
dark magician girl,ブラックマジシャンガール
giorno giovanna,ジョルノ・ジョバアーナ
aventurine (honkai: star rail),アベンチュリン(スターレイル)
han juri,ハン・ジュリ
asahina mikuru,朝比奈みくる
kikyou (blue archive),キキョウ(ブルーアーカイブ)
saotome ranma (female),早乙女らんま
ryuuguu rena,竜宮レナ
itadori yuji,虎杖悠仁
hiryuu (kancolle),飛龍(艦隊これくしょん)
iroha (blue archive),棗イロハ
arch bishop (ragnarok online),アークビショップ
sakurauchi riko,ようりこ
aubrey (faraway) (omori),見た人もツインテールオーブリーを描く
makise kurisu,クリスティーナ
belfast (azur lane),ベルファスト
enoshima junko,江ノ島盾子
kiso (kancolle),木曾(艦隊これくしょん)
cu chulainn (lancer) (fate),ランサー
sirius (azur lane),シリアス(アズールレーン)
kama (fate),カーマ(Fate)
naganami (kancolle),長波(艦隊これくしょん)
medicine melancholy,メディスン・メランコリー
elysia (miss pink elf) (honkai impact),エリシア(通常)
usami sumireko,宇佐見菫子
mudrock (arknights),マドロック
motoori kosuzu,本居小鈴
sakuraba ema,桜羽エマ
ayase momo,綾瀬桃
koizumi hanayo,火曜日かよちゃん
yuzu (blue archive),花岡ユズ
eren yeager,エレン・イェーガー
wakamo (blue archive),狐坂ワカモ
takodachi (ninomae ina'nis),タコダチ（ninomae ina'nis）
sylveon,ニンフィア
kiryu coco,桐生ココ
graf zeppelin (kancolle),グラーフ・ツェッペリン
iori (blue archive),銀鏡イオリ
callie (splatoon),シオカラーズ
hiroi kikuri,廣井きくり
chouzetsusaikawa tenshi-chan,超絶最かわてんしちゃん
hong lu (project moon),ホンル
jougasaki mika,城ヶ崎美嘉
hestia (danmachi),ヘスティア
fischl (genshin impact),フィッシュル(原神)
cheval grand (umamusume),シュヴァルグラン(ウマ娘)
sinclair (project moon),シンクレア
nakano miku,中野三玖
dusk (arknights),ダスク(アークナイツ)
tamamo cross (umamusume),タマモクロス(ウマ娘)
futaba anzu,双葉杏
kei (student) (blue archive),天童ケイ
kyon,キョン
kisume,キスメ
shokuhou misaki,食蜂操祈(ブルーアーカイブ)
fujita kotone,藤田ことね
star sapphire,スターサファイア
ivan (alien stage),イヴァン
takami chika,ようちか安心委員会
asahina mafuyu,朝比奈まふゆ
jean (genshin impact),ジン
till (alien stage),ティル
admire vega (umamusume),アドマイヤベガ(ウマ娘)
tsukino mito,月ノ美兎
yoo joonghyuk,劉衆赫
yuuka (track) (blue archive),早瀬ユウカ(体操服)
barbara (genshin impact),バーバラ
takebe saori,あんこうチーム
oda nobunaga (fate),ノッブ
zuihou (kancolle),瑞鳳(艦隊これくしょん)
sunna (zenless zone zero),千夏(ゼンゼロ)
t-head trainer (umamusume),トヘッド
bowsette,クッパ姫
don-chan (usada pekora),どんちゃん
akari (pokemon),ショウ(ポケモン)
serika (blue archive),黒見セリカ
monster hunter (character),モンスターハンター（キャラクター）
kanzaki ranko,神崎蘭子
t.m. opera o (umamusume),テイエムオペラオー(ウマ娘)
tsukishiro yanagi,月城柳
shirai kuroko,白井黒子
tomioka giyuu,富冈义勇
gentildonna (umamusume),ジェンティルドンナ(ウマ娘)
kay (girls und panzer),ケイ
alice (alice in wonderland),アリス
leon (pokemon),ダンデ
kochou shinobu,胡蝶しのぶ
raihan (pokemon),キバナ
mayuzumi fuyuko,あさふゆ
diluc (genshin impact),ディルック
citlali (genshin impact),シトラリ
florence nightingale (fate),ナイチンゲール(Fate)
king halo (umamusume),キングヘイロー(ウマ娘)
murasame (kancolle),村雨(艦隊これくしょん)
kokkoro (princess connect!),コッコロ
lunasa prismriver,ルナサ・プリズムリバー
charizard,リザードン
ichinose shiki,一ノ瀬志希
marie (splatoon),シオカラーズ
kakyoin noriaki,花京院典明
akiyama mizuki,みずえな
mihono bourbon (umamusume),ミホノブルボン(ウマ娘)
zhu yuan,朱鸢
kokona (blue archive),春原ココナ
lucario,ルカリオ
juliana (pokemon),アオイ(ポケモンSV)
nessa (pokemon),ルリナ
naka (kancolle),那珂(艦隊これくしょん)
azki (hololive),あずいろ
falin touden,ファリントーデン
ethan (pokemon),ヒビキ(ポケモン)
yoimiya (genshin impact),宵宫
yorigami jo'on,依神女苑
rika (pokemon),チリ(トレーナー)
octoling girl,タコガール
narmaya (granblue fantasy),ナルメア
hero (omori),ヒロ
matara okina,摩多羅隠岐奈
karin (bunny) (blue archive),カリン(バニーガール)
shiroko (swimsuit) (blue archive),砂狼シロコ(水着)
toga himiko,トガヒミコ
dimitri alexandre blaiddyd,ディミトリ・アレクサンドル・ブレーダッド
rowlet,モクロー
hoto cocoa,ココア
makaino ririmu,魔界ノりりむ
higashikata josuke,東方仗助
nia (xenoblade),ニア
alhaitham (genshin impact),アルハイゼン
momosuzu nene,桃鈴ねね
ryoshu (project moon),良秀
ruby rose,ルビー・ローズ
saotome ranma (male),男らんま
shirogane naoto,白鐘直斗
anis (nikke),アニス(勝利の女神:NIKKE)
nitta minami,歩くセックス
omaru polka,尾丸ポルカ
hiiragi tsukasa,柊つかさ
fairy (kancolle),妖精(艦隊これくしょん)
rotom phone,スマホロトム
super sonico,すーぱーそに子
luna child,ルナチャイルド
kirito,キリト
azusa (blue archive),白洲アズサ
sunny milk,サニーミルク
umbreon,ブラッキー
jonathan joestar,ジョナサン・ジョースター
satou kazuma,カズマ(このすば)
yi sang (project moon),イサン
jack the ripper (fate/apocrypha),ジャック・ザ・リッパー(Fate)
