original,オリジナル
suzumiya haruhi no yuuutsu,涼宮ハルヒの憂鬱
danganronpa v3: killing harmony,NEWダンガンロンパV3
voiceroid,ボイスロイド
pokemon sun and moon,ポケモンSM
reverse:1999,リバース1999
jujutsu kaisen,じゅじゅプラス
mega man (series),ロックマン
love live! sunshine!!,ラブライブ!サンシャイン!!
omori,おもり
re:zero kara hajimeru isekai seikatsu,Re:ゼロから始める異世界生活
guilty gear,ギルティギア
fate/extra,セイバー(Fate/EXTRA)
fire emblem fates,ファイアーエムブレムif
kono subarashii sekai ni shukufuku wo!,この素晴らしい世界に祝福を!
love live! nijigasaki high school idol club,ラブライブ!PDP
digimon,デジモン
xenoblade chronicles 2,ゼノブレイド2
bleach,ブリーチ
monogatari (series),物語シリーズ
real life,実在の人
tales of (series),テイルズオブシリーズ
kimetsu no yaiba,鬼滅の刃
dragon quest,ドラゴンクエスト
senran kagura,閃乱カグラ
overwatch,オーバーウォッチ
bishoujo senshi sailor moon,美少女戦士セーラームーン
pokemon black and white,ポケモンbw
sword art online,ソードアート・オンライン
sonic (series),ソニック・ザ・ヘッジホッグ
strike witches,ストライクウィッチーズ
persona 5,ペルソナ5
toaru kagaku no railgun,とある科学の超電磁砲
touken ranbu,とうらぶ
final fantasy vii remake,ファイナルファンタジー7リメイク
fate/apocrypha,アポクリファ
fire emblem awakening,ファイアーエムブレム覚醒
science adventure,科学アドベンチャー
nier (series),ニーア
pokemon diamond/pearl/platinum,ポケモンDPt
spy x family,スパイファミリー
gochuumon wa usagi desu ka?,ご注文はうさぎですか?
arknights: endfield,アークナイツ:エンドフィールド
the king of fighters,キングオブファイターズ
nijisanji en,にじさんじEN
touhou (pc-98),東方旧作
kill la kill,キルラキル
idolmaster cinderella girls starlight stage,スターライトステージ
fate/zero,運命/ゼロ
tsukihime,月姫
persona 4,ペルソナ4
persona 3,ペルソナ3
kirby (series),星のカービィ
alien stage,异形舞台
shingeki no kyojin,進撃の巨人
code geass,コードギアス反逆のルルーシュ
bang dream! girls band party!,バンドリ!_ガールズバンドパーティ!
nier:automata,ニーアオートマタ
danganronpa: trigger happy havoc,ダンガンロンパ_希望の学園と絶望の高校生
lucky star,らき☆すた
dc comics,DCコミックス
overwatch 1,オーバーウォッチ1
dungeon meshi,ダンジョン飯
neptune (series),超次元ゲイムネプテューヌ
idolmaster million live! theater days,アイドルマスターミリオンライブ!シアターデイズ
mahou shoujo no majo saiban,魔法少女ノ魔女裁判
saibou shinkyoku,さぼしき
higurashi no naku koro ni,ひぐらしのなく頃に
go-toubun no hanayome,五等分の花嫁
pokemon legends: z-a,ポケモンZA
tokyo afterschool summoners,東京放課後サモナーズ
dragon ball z,ドラゴンボールZ
resident evil,バイオハザード
vspo!,ぶいすぽっ!
ranma 1/2,らんま1⁄2
elden ring,エルデンリング
ensemble stars!,あんさんぶるスターズ!
darkstalkers,ヴァンパイア
assault lily,アサルトリリィ
magia record: mahou shoujo madoka magica gaiden,マギアレコード
cho kaguya-hime!,超かぐや姫!
pokemon black 2 and white 2,ポケモンBW2
fire emblem engage,ファイアーエムブレムエンゲージ
stardust crusaders,スターダストクルセイダース
girls band cry,ガールズバンドクライ
eiyuu densetsu,英雄伝説
kamen rider,仮面ライダー
rwby,RWBYイラコン
monster hunter (series),モンスターハンター
blazblue,ブレイブルー
rebuild of evangelion,ヱヴァンゲリヲン新劇場版
umineko no naku koro ni,うみねこのなく頃に
nikki (series),ニキシリーズ
cookie (touhou),クッキー☆
mahou shoujo lyrical nanoha,魔法少女リリカルなのは
fate/kaleid liner prisma illya,プリズマ☆イリヤ
pokemon x and y,ポケモンXY
mahou shoujo lyrical nanoha strikers,魔法少女リリカルなのはStrikerS
inazuma eleven (series),イナズマイレブン
gundam suisei no majo,機動戦士ガンダム水星の魔女
senki zesshou symphogear,戦姫絶唱シンフォギア
super smash bros.,大乱闘スマッシュブラザーズ
hololive indonesia,ホロライブID
deltarune,デルタルーン
rozen maiden,ローゼンメイデン
cardcaptor sakura,カードキャプターさくら
tengen toppa gurren lagann,天元突破グレンラガン
onii-chan wa oshimai!,おにまい
the legend of zelda: breath of the wild,ゼルダの伝説ブレスオブザワイルド
atelier (series),アトリエ
guilty gear strive,ギルティギアストライヴ
macross,マクロス
pretty series,プリティーシリーズ
vento aureo,黄金の風
naruto shippuuden,ナルト疾風伝
axis powers hetalia,ヘタリア
heaven burns red,ヘブンバーンズレッド
lycoris recoil,リコリス・リコイル
girls' frontline 2: exilium,ドールズフロントライン2
pokemon masters ex,ポケモンマスターズ
hololive dev is,ホロライブDEV_IS
last origin,ラストオリジン
naruto (classic),ナルト
battle tendency,JOJO的奇妙冒险:战斗潮流
pokemon heartgold and soulsilver,ポケモンHGSS
fate/extra ccc,運命/余分なCCC
splatoon 3,スプラトゥーン3
pokemon legends: arceus,LEGENDSアルセウス
smile precure!,スマイルプリキュア!
oshi no ko,推しの子
undertale,あんだーてーる
steins;gate,シュタインズゲート
the legend of zelda: tears of the kingdom,ゼルダの伝説ティアーズオブザキングダム
a.i. voice,アイボス
helltaker,ヘルテイカー
panty & stocking with garterbelt,パンティ&ストッキングwithガーターベルト
street fighter 6,ストリートファイター6
aikatsu! (series),アイカツ!
kobayashi-san chi no maidragon,小林さんちのメイドラゴン
ace attorney,逆裁腐向け
spider-man (series),スパイダーマン
one-punch man,ワンパンマン
yuruyuri,ゆるゆり
gridman universe,古立特宇宙
pokemon omega ruby and alpha sapphire,ポケモンORAS
punishing: gray raven,パニシング:グレイレイヴン
mushoku tensei,無職転生
love live! superstar!!,ハロー!!!ラブライブ!
senran kagura new wave,閃乱カグラNewWave
bakemonogatari,化物語
hunter x hunter,ハンターハンター
twisted wonderland,ツイステッドワンダーランド
gundam gquuuuuux,機動戦士ガンダムジークアクス
x-men,X-メン
the hundred line -last defense academy-,ハンドラ
metroid,メトロイド
sanrio,サンリオ
diamond wa kudakenai,ダイヤモンドは砕けない
high school dxd,ハイスクールD×D
synthesizer v,シンセサイザーv
sono bisque doll wa koi wo suru,その着せ替え人形は恋をする
fatal fury,饿狼传说
ore no imouto ga konna ni kawaii wake ga nai,俺の妹がこんなに可愛いわけがない
saki (manga),咲-saki-
kemono friends 3,けものフレンズ3
hibike! euphonium,響け!ユーフォニアム北宇治高校吹奏楽部へようこそ
nanashi inc.,ななしいんく
tiger & bunny,タイガーアンドバニー
pixiv fantasia,pixivファンタジア
marvel rivals,マーベルライバルズ
to love-ru,ToLOVEる
apex legends,エーペックス
elsword,エルソード
warship girls r,战舰少女
gundam seed,ガンダムSEED
inazuma eleven go,イナズマイレブンGO
dead or alive,デッドオアアライブ
pokemon firered and leafgreen,ポケットモンスターリーフグリーン
little busters!,リトルバスターズ!
library of ruina,ライブラリー・オブ・ルイナ
kamitsubaki studio,神椿スタジオ
watashi ga motenai no wa dou kangaetemo omaera ga warui!,私がモテないのはどう考えてもお前らが悪い!
kaguya-sama wa kokurasetai ~tensai-tachi no renai zunousen~,かぐや様は告らせたい
kingdom hearts,キングダムハーツ
dungeon ni deai wo motomeru no wa machigatteiru darou ka,ダンまち
disgaea,ディスガイア
holostars,ホロスターズ
angel beats!,エンジェルビーツ
omniscient reader's viewpoint,全知的な読者の視点から
dragon ball super,ドラゴンボール超
ssss.gridman,グリッドマン
tekken,鉄拳
pripara,プリパラ
animal crossing,どうぶつの森
mahou shoujo lyrical nanoha a's,魔法少女リリカルなのはA's
black rock shooter,ブラック★ロックシューター
amagami,アマガミ
fire emblem: the blazing blade,ファイアーエムブレム烈火の剣
fullmetal alchemist,鋼の錬金術師
fire emblem: radiant dawn,暁の女神
mahou shoujo madoka magica: hangyaku no monogatari,叛逆の物語
splatoon 1,スプラトゥーン1
shoujo kageki revue starlight,少女☆歌劇レヴュースタァライト
to heart 2,同班同學2
lobotomy corporation,ロボトミーコーポレーション
dandadan,ダンダダン
clannad,クラナド
aikatsu!,アイカツ!_アイドルカツドウ
needy girl overdose,にーでぃがーる
megami magazine,メガミマガジン
phase connect,フェーズコネクト
fire emblem: genealogy of the holy war,聖戦の系譜
gintama,ぎんたま
date a live,デート・ア・ライブ
splatoon 2,スプラトゥーン2
stone ocean,ストーンオーシャン
transformers,トランスフォーマー
darling in the franxx,ダーリン・イン・ザ・フランキス
batman (series),バットマン
new super mario bros. u deluxe,NewスーパーマリオブラザーズUデラックス
gundam 00,ガンダム00
macross frontier,マクロスF
phantasy star,ファンタシースター
cyberpunk (series),赛博朋克(系列)
infinity nikki,インフィニティニキ
path to nowhere,无期迷途
xenoblade chronicles 3,ゼノブレイド3
len'en,鏈縁Project
doki doki literature club,ドキドキ文芸部
dark souls (series),ダークソウル
golden kamuy,ゴールデンカムイ
dokidoki! precure,ドキドキ!プリキュア
mobile suit gundam,機動戦士ガンダム
cookie run,クキロン
puyopuyo,ぷよぷよ
yahari ore no seishun lovecome wa machigatteiru.,やはり俺の青春ラブコメはまちがっている。
star wars,スター・ウォーズ
queen's blade,クイーンズブレイド
meitantei conan,名探偵コナン
grandmaster of demonic cultivation,魔道祖师
heartcatch precure!,ハートキャッチプリキュア!
flower knight girl,フラワーナイトガール
fire emblem: path of radiance,蒼炎の軌跡
steel ball run,スティール・ボール・ラン
pokemon ruby/sapphire/emerald,ルビサファ
houseki no kuni,宝石の国
monster musume no iru nichijou,モンスター娘のいる日常
love live! school idol festival,ラブライブ!スクールアイドルフェスティバル
dungeons & dragons,ダンジョンズ&ドラゴンズ
puzzle & dragons,パズル&ドラゴンズ
haikyuu!!,ハイキュー!!
yurucamp,ゆるキャン
vshojo,V少女
devil may cry (series),デビルメイクライシリーズ
skullgirls,スカルガールズ
kagerou project,カゲロウプロジェクト
osomatsu (series),おそ松さん/くん
the legend of zelda: twilight princess,トワイライトプリンセス
mega man (classic),メガマン（クラシック）
pokemon (classic anime),ポケットモンスター(アニポケ第1シリーズ)
monster girl encyclopedia,魔物娘図鑑
mega man x (series),ロックマンX
cevio,Cevio
touqi guaitan,头七怪谈
idolmaster 1,アケマス
super robot wars,スーパーロボット大戦
guilty gear xrd,ギルティギアXrd
hirogaru sky! precure,ひろがるスカイ!プリキュア
kouyoku senki exs-tia,光翼戦姫エクスティア
kemono friends v project,けものフレンズVぷろじぇくと
atelier ryza,ライザのアトリエ
osomatsu-san,おそ松さん
koha-ace,コハエース
fire emblem: mystery of the emblem,紋章の謎
tsukihime (remake),月姫リメイク
gegege no kitarou,ゲゲゲの鬼太郎
minecraft,Minecraftシリーズ
little witch academia,リトルウィッチアカデミア
machikado mazoku,まちカドまぞく
alice's adventures in wonderland,不思議の国のアリス
touhou lostword,東方ロストワード
phantasy star online 2,ファンタシースターオンライン2
taimanin (series),対魔忍
cyberpunk: edgerunners,サイバーパンク:エッジランナーズ
made in abyss,メイドインアビス
warhammer 40k,"ウォーハンマー40,000"
dungeon and fighter,アラド戦記
bemani,ベマイ
nitroplus,ニトロプラス
kid icarus,パルテナの鏡
phantom blood,ファントムブラッド
sekaiju no meikyuu,世界樹の迷宮
pokemon horizons,ポケットモンスター(アニポケ第8シリーズ)
inazuma eleven,イナズマイレブン
the legend of zelda: ocarina of time,ゼルダの伝説_時のオカリナ
meitantei precure!,名探偵プリキュア!
pokemon adventures,ポケスペ
pokemon tcg,ポケモンカードゲーム
idolmaster side-m,アイドルマスターSideM
hazbin hotel,ハズビン・ホテル
my little pony,マイリトルポニー
spice and wolf,狼と香辛料
fairy tail,フェアリーテイル
yu-gi-oh! duel monsters,遊☆戯☆王デュエルモンスターズ
vrchat,VRチャット
mcdonald's,マクドナルド
shadowverse,シャドウバース
my little pony: friendship is magic,マイリトルポニー〜トモダチは魔法
fire emblem: the binding blade,封印の剣
os-tan,OSたん
shining nikki,シャイニングニキ
street fighter v,ストリートファイターV
yu-gi-oh! gx,遊戯王GX女性向け
zeta gundam,機動戦士Ζガンダム
toradora!,とらドラ!
suite precure,スイートプリキュア♪
metal gear (series),メタルギアシリーズ
mahjong soul,じゃんたま
reitaisai,例大祭
final fantasy vii rebirth,FF7リバース
gundam build fighters,ガンダムビルドファイターズ
tate no yuusha no nariagari,盾の勇者の成り上がり
pokemon the series: sun & moon,ポケットモンスターサン&ムーン
fate/strange fake,ストレンジフェイク
ado (utaite),アド
bleach: sennen kessen-hen,千年血戦篇
avatar legends,降世神通
youkai watch,妖怪ウォッチ
final fantasy vi,ファイナルファンタジーvi
shingeki no bahamut,神撃のバハムート
mega man zero (series),ロックマンゼロ
ambience synesthesia,音律联觉
star ocean,スターオーシャン
urusei yatsura,うる星やつら
shin megami tensei,真・女神転生シリーズ
final fantasy vii: ever crisis,エバークライシス
black survival,ブラックサバイバル
summer pockets,サマポケ
voicevox,VoiceVox
bloodborne,ブラッドボーン
fate/hollow ataraxia,フェイト/ホロウアタラクシア
sennen sensou aigis,千年戦争アイギス
dragon quest iii,ドラゴンクエスト3
zombie land saga,ゾンビランドサガ
eromanga sensei,エロマンガ先生
alice gear aegis,アリスギアアイギス
final fantasy xi,ファイナルファンタジーxi
koi suru kokoro to mahou no kotoba,恋するココロと魔法のコトバ
identity v,identityVイラスト
evangelion: 3.0 you can (not) redo,ヱヴァンゲリヲン新劇場版:q
hollow knight,ホロウナイト
infinite stratos,インフィニット・ストラトス
ultra series,ウルトラシリーズ
tales of vesperia,テイルズ・オブ・ヴェスペリア
project diva (series),Project Diva（シリーズ）
chuunibyou demo koi ga shitai!,中二病でも恋がしたい!
muv-luv,マブラヴ
pokemon red/green/blue/yellow,ポケモンRGB
stella sora,ステラソラ
final fantasy ix,ファイナルファンタジーIX
baldur's gate,バルダーズ・ゲート
melty blood,メルティブラッド
fire emblem: the sacred stones,聖魔の光石
baldur's gate 3,バルダーズ・ゲートIII
samurai spirits,サムライスピリッツ
zero no tsukaima,ゼロの使い魔
hyouka,氷菓
boku wa tomodachi ga sukunai,僕は友達が少ない
gundam seed destiny,機動戦士ガンダムSEEDDESTINY
kid icarus uprising,新・光神話パルテナの鏡
pikmin (series),ピクミン
arcane: league of legends,アーケイン
soul eater,ソウルイーター
fresh precure!,フレッシュプリキュア
the amazing digital circus,アメイジングデジタルサーカス
mahou sensei negima!,魔法先生ネギま!
love and deepspace,恋と深空
mega man zx,ロックマンゼクス
shinrabanshou,神羅万象チョコ
eternal return: black survival,エターナルリターン
pokemon journeys,ポケットモンスター(アニポケ第7シリーズ)
street fighter zero (series),ストリートファイターzero
boruto: naruto next generations,Boruto：NARUTO-次の世代
final fantasy viii,ファイナルファンタジーVIII
overlord (maruyama),オーバーロード(アニメ)
project voltage,ポケミク
yu-gi-oh! 5d's,遊戯王5D's女性向け
azumanga daioh,あずまんが大王
death note,デスノート
maria-sama ga miteru,マリア様がみてる
fire emblem echoes: shadows of valentia,ファイアーエムブレムEchoesもうひとりの英雄王
tokyo ghoul,東京グール
cookie run: kingdom,クッキーランキングダム
umamusume: cinderella gray,ウマ娘シンデレラグレイ
fate/prototype,運命/プロトタイプ
nichijou,日常(あらゐけいいち)
rabbit hole (vocaloid),ラビットホール
mother (series),MOTHERシリーズ
futari wa precure,ふたりはプリキュア
senran kagura new link,シノビマスター閃乱カグラNewLink
girlfriend (kari),ガールフレンド(仮)
wizarding world,ウィザーディング・ワールド
trickcal,トリッカル
kara no kyoukai,空の境界
wonderful precure!,わんだふるぷりきゅあ!
chaos;head,カオスヘッド
resident evil 4,バイオハザード4
kanon,カノン
22/7,ナナブンノニジュウニ
emil chronicle online,エミルクロニクルオンライン
mihoyo,米哈游
holostars english,ホロスターズEnglish
yuri!!! on ice,ユーリ!!!onICE
go! princess precure,Go!プリンセスプリキュア
evangelion: 2.0 you can (not) advance,ヱヴァンゲリヲン新劇場版:破
closers,クローザーズ
twitter,ツイッター
pokemon gold/silver/crystal,ポケモンGS
ikkitousen,一騎当千
oshiro project:re,御城プロジェクト:RE
sayonara zetsubou sensei,さよなら絶望先生
komi-san wa komyushou desu,古見さんは、コミュ症です。
final fantasy vii: advent children,アドベントチルドレン
inuyasha,犬夜叉
danganronpa 3 (anime),ダンガンロンパ3
grimms notes,グリムノーツ
yes! precure 5,Yes!プリキュア5
spider-verse,蜘蛛宇宙
make heroine ga oo sugiru!,負けヒロインが多すぎる!
happinesscharge precure!,ハピネスチャージプリキュア!
shakugan no shana,灼眼のシャナ
honkai gakuen,崩坏学园2
persona 3 portable,ペルソナ3ポータブル
promare,プロメア
warcraft,ウォークラフト
poptepipic,ポプテピピック
kimi no koto ga dai dai dai dai daisuki na 100-nin no kanojo,君のことが大大大大大好きな100人の彼女
magical mirai (vocaloid),マジカルミライ
soulcalibur,ソウルキャリバー
blue lock,ブルーロック
dark souls i,ダークソウル
gundam zz,機動戦士ガンダムZZ
brave witches,ブレイブウィッチーズ
mon-musu quest!,もんむす・くえすと!
fate/samurai remnant,サムレム
working!!,働く！！
the legend of luo xiaohei,罗小黑战记
dragon ball (classic),ドラゴンボール
yume nikki,ゆめにっき
sword art online: alicization,アリシゼーション
my melody (series),マイメロディ
m.u.g.e.n,M.U.G.E.N
tales of the abyss,テイルズ・オブ・ジ・アビス
toji no miko,刀使の巫女
mob psycho 100,モブサイコ100
girls' frontline neural cloud,ニューラルクラウド
aria (manga),アリア
breath of fire,ブレスオブファイア
hidamari sketch,ひだまりスケッチ
final fantasy x,ファイナルファンタジーX
berserk,ベルセルク
vedal ai,ネウロ様
final fantasy iv,ファイナルファンタジーIV
senpai ga uzai kouhai no hanashi,先輩がうざい後輩の話
little red riding hood (fairy tale),赤ずきん
tales of symphonia,テイルズ・オブ・シンフォニア
shantae (series),シャンティ
dragon quest iv,ドラゴンクエスト4
sana channel,名取さな
superman (series),スーパーマン
harry potter (series),ハリポタ
atelier ryza 1,ライザのアトリエ
tales of xillia,テイルズ・オブ・エクシリア
pokemon the series: xy,XY(アニポケ)
live a hero,ラブヒロ
brown dust (series),棕色尘埃(系列)
seiken densetsu,聖剣伝説
tokidoki bosotto roshia-go de dereru tonari no alya-san,時々ボソッとロシア語でデレる隣のアーリャさん
mahou shoujo ni akogarete,魔法少女にあこがれて
hayate no gotoku!,ハヤテのごとく!
dragon quest xi,ドラクエ11
choukou (alicesoft),超昂シリーズ
dairoku ryouhei,第六猟兵
onmyoji,陰陽師(ゲーム)
fire emblem cipher,ファイアーエムブレム0
macross delta,マクロスΔ
street fighter iv (series),ストリートファイターIV
mega man legends (series),ロックマンDASH
final fantasy v,ファイナルファンタジーV
brown dust 2,ブラダス2
di gi charat,デ・ジ・キャラット
new game!,ニューゲーム
elden ring nightreign,エルデンリング:ナイトレイン
to love-ru darkness,ToLOVEるダークネス
durarara!!,デュラララ!!
teen titans,ティーンタイタンズ
world of warcraft,ワールドオフウォークラフト
saenai heroine no sodatekata,冴えない彼女の育てかた
rune factory,ルーンファクトリー
watashi ni tenshi ga maiorita!,私に天使が舞い降りた!
final fantasy tactics,ファイナルファンタジータクティクス
lawson,ローソン
uzaki-chan wa asobitai!,宇崎ちゃんは遊びたい!
star twinkle precure,スタートゥインクルプリキュア
ghost in the shell,攻殻機動隊
microsoft windows,マイクロソフトウィンドウズ
mahou tsukai no yoru,魔法使いの夜
adventure time,アドベンチャー・タイム
muv-luv alternative,マブラヴオルタネイティヴ
zombie stage,血鬼舞台
shinryaku! ikamusume,侵略!イカ娘
mabinogi,マビノギ
coca-cola,コカ・コーラ
.live,ドットライブ
godzilla (series),ゴジラ怪獣
dolphin wave,ドルフィンウェーブ
steins;gate 0,シュタインズゲートゼロ
fire emblem warriors: three hopes,ファイアーエムブレム無双風花雪月
funamusea,海底囚人
under night in-birth,アンダーナイトインヴァース
ijiranaide nagatoro-san,イジらないで、長瀞さん
cinderella girls gekijou,シンデレラガールズ劇場
super sentai,スーパー戦隊シリーズ
tropical-rouge! precure,トロピカル〜ジュ!プリキュア
mega man battle network (series),ロックマンエグゼ
idolmaster 2,アイドルマスター2
nisemonogatari,偽物語
wild arms,ワイルドアームズ
digimon adventure,デジモンアドベンチャー
castlevania (series),悪魔城ドラキュラ
trigun,トライガン
dragon quest v,ドラゴンクエスト5
persona 5 the royal,ペルソナ5R
yuusha de aru,勇者であるシリーズ
black lagoon,ブラックラグーン
call of duty,コールオブデューティ
dragon ball gt,ドラゴンボールGT
kirakira precure a la mode,キラキラ☆プリキュアアラモード
kill me baby,キルミーベイベー
show by rock!!,SB69ファン創作
guilty crown,ギルティクラウン
dengeki moeoh,電撃萌王
lord of the mysteries,诡秘之主
touhou tag dream,夢の東方タッグ編
sword girls,ソードガールズ
sengoku basara,戦国BASARAシリーズ
bishoujo senshi sailor moon s,美少女戦士セーラームーンスーパー
embodiment of scarlet devil,東方紅魔郷
gundam build fighters try,ガンダムビルドファイターズトライ
chaos;child,カオスチャイルド
god eater,ゴッドイーター
saga,サガシリーズ
gundam unicorn,ガンダムUC
silent hill (series),サイレントヒルシリーズ
digimon card game,デジモンカードゲーム
hugtto! precure,HuGっと!プリキュア
delicious party precure,デリシャスパーティ♡プリキュア
cinderella series,シンデレラシリーズ
dorohedoro,ドロヘドロ
waktaverse,ワクタバース
sakura taisen,サクラ大戦
rance (series),ランスシリーズ
yuuki bakuhatsu bang bravern,勇気爆発バーンブレイバーン
hachigatsu no cinderella nine,八月のシンデレラナイン
avengers (series),アベンジャーズ
super mario galaxy,スーパーマリオギャラクシー
tensei shitara slime datta ken,転生したらスライムだった件
minecraft youtube,美城云庭
alchemy stars,白夜極光
kusuriya no hitorigoto,薬屋のひとりごと
utawarerumono (series),うたわれるもの
randal's friends,ランフレン
ryuu ga gotoku (series),龍が如く
duel masters,デュエル・マスターズ
air (visual novel),AIR(ゲーム)
fatal frame,零(ゲーム)
yu-gi-oh! arc-v,遊戯王ARC-V女性向け
keroro gunsou,ケロロ軍曹
idolmaster dearly stars,アイドルマスターディアリースターズ
melonbooks,メロンブックス
slam dunk (series),スラムダンク
dissidia final fantasy,ディシディア
karakai jouzu no takagi-san,からかい上手の高木さん
dragon's crown,ドラゴンズクラウン
gensou suikoden,幻想水滸伝
senran kagura shoujo-tachi no shin'ei,閃乱カグラ-少女達の真影-
heaven's feel,天国の雰囲気
final fantasy xvi,ファイナルファンタジー16
lovebrush chronicles,時空の絵旅人
scott pilgrim (series),スコット・ピルグリム
tokyo revengers,東京リベンジャーズ
kin-iro mosaic,きんいろモザイク
mahou girls precure!,魔法つかいプリキュア!
ano hi mita hana no namae wo bokutachi wa mada shiranai.,あの日見た花の名前を僕達はまだ知らない。
doraemon,ドラえもん
final fantasy xv,ファイナルファンタジーXV
mickey mouse & friends,ミッキー&フレンズ
boku no kokoro no yabai yatsu,僕の心のヤバイやつ
crisis core: final fantasy vii,クライシスコア
goblin slayer!,ゴブリンスレイヤー
fuwa fuwa cinnamoroll,ふわふわ♥シナモン
shiguang dailiren,时光代理人
va-11 hall-a,ヴァルハラ
senren banka,千恋*万花
pokemon the series: diamond and pearl,アニポケDP
counter:side,カウンターサイド
d.gray-man,ディー・グレイマン
darker than black,黒の契約者
pokemon platinum,ポケットモンスタープラチナ
ryuuou no oshigoto!,りゅうおうのおしごと!
gundam tekketsu no orphans,機動戦士ガンダム鉄血のオルフェンズ
mega man star force (series),流星のロックマン
arcaea,アーケア
magi the labyrinth of magic,マギ
sinoalice,シノアリス
futaba channel,ふたば☆ちゃんねる
galaxy angel,ギャラクシーエンジェル
free!,Free!プラス
world trigger,ワールドトリガー
evangelion: 3.0+1.0 thrice upon a time,シン・エヴァンゲリオン劇場版
bayonetta (series),ベヨネッタ
shokugeki no souma,食戟のソーマ
seiken densetsu 3,聖剣伝説3
watashi ga koibito ni nareru wake naijan murimuri!,わたしが恋人になれるわけないじゃん、ムリムリ!
love plus,ラブプラス
among us,アマングアス
kimi to idol precure,キミとアイドルプリキュア♪
frozen (disney),アナと雪の女王
xenoblade chronicles 1,ゼノブレイド(初代作)
hellsing,ヘルシング
black clover,ブラクロ
danganronpa another episode: ultra despair girls,絶対絶望少女
avatar: the last airbender,アバター伝説の少年アン
homicipher,文字化化
kpop demon hunters,KPOPガールズ!デーモン・ハンターズ
the legend of zelda: skyward sword,スカイウォードソード
seishun buta yarou,青春ブタ野郎
team fortress 2,チームフォートレス2
char's counterattack,機動戦士ガンダム逆襲のシャア
luigi's mansion,ルイージマンション
tales of zestiria,テイルズ・オブ・ゼスティリア
ib (kouri),イヴ
steven universe,スティーブン・ユニバース
dark souls iii,ダークソウル3
neverness to everness,NTEイラコンFA
my-hime,舞-HiME
sora no kiseki,空の軌跡
dragon ball fighterz,ドラゴンボールファイターズ
tales of asteria,テイルズオブアスタリア
tenka hyakken,天華百剣
jojolion,ジョジョリオン
re:stage!,re:ステージ
fallout,フォールアウト
saint seiya,セイントセイヤ
amagi brilliant park,甘城ブリリアントパーク
bungou stray dogs,文豪ストレイドッグス
hello kitty,ハローキティ
aotu world,凹凸世界
newtype,ニュータイプ
majo no tabitabi,魔女の旅々
kuroko no basuke,黒子のバスケ
sakura no sekai,桜の世界
tsugu (vtuber),鳩羽つぐ
